solID,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
5_1175_4,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,15342527,145202714,583657.948152676,25742.494966443,0.0441054474592867,0.00543951352339545,25.3593787204429,2.11304830028566e-07,145202714,583657.948152676,0,18019.7464765101,-0.3,583657.948152676,0,0.0308738132215007,0.00199086906582165,27.9989601388882,1.10482634615136e-07,-0.633998691747179,0.104086990755711
5_1175_4,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,85155480,145202714,583657.948152676,123057.052023121,0.210837618870105,12.837962597643,25.3593787204429,0.00010432528966508,145202714,583657.948152676,0,86139.936416185,-0.3,583657.948152676,0,0.147586333209073,11.1749754943675,27.9989601388882,0.000129730482274512,-0.129536683926839,0.104086990755711
5_1175_4,FB_o36_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1843074,145202714,583657.948152676,6311.89726027397,0.0108143772911028,0.000406923269849692,25.3593787204429,6.44692480042094e-08,145202714,583657.948152676,0,4418.32808219178,-0.3,583657.948152676,0,0.00757006410377198,0.000166814553760552,27.9989601388882,3.7755130596323e-08,-0.590058946930783,0.104086990755711
5_1175_4,FB_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,30826560,145202714,583657.948152676,49720.2580645161,0.0851873228521683,1.63491695789379,25.3593787204429,3.28823103808582e-05,145202714,583657.948152676,0,59664.3096774194,0.2,583657.948152676,0,0.102224787422602,2.58204859587685,27.9989601388882,4.32762669984273e-05,0.579314829056041,0.104086990755711
5_1175_4,Google_listing_S,2020-05-06,2022-03-31,695 days,0.7,1.2,130749,145202714,583657.948152676,3533.75675675676,0.00605449950256204,0.12929739938181,25.3593787204429,3.65892188630655e-05,145202714,583657.948152676,0,4240.50810810811,0.2,583657.948152676,0,0.00726539940307444,0.201067300355742,27.9989601388882,4.74158509380725e-05,0.555076137007203,0.104086990755711
5_1175_4,Google_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3782683,145202714,583657.948152676,9600.71827411168,0.0164492204800752,0.302551247920992,25.3593787204429,3.15133971524632e-05,145202714,583657.948152676,0,6720.50279187817,-0.3,583657.948152676,0,0.0115144543360526,0.242740508179499,27.9989601388882,3.61193969702467e-05,-0.197687962460866,0.104086990755711
5_1175_4,Google_Proslisting_S,2020-05-06,2022-03-31,695 days,0.7,1.2,5524498,145202714,583657.948152676,24019.5565217391,0.0411534814145219,0.434287542359276,25.3593787204429,1.80805812116564e-05,145202714,583657.948152676,0,16813.6895652174,-0.3,583657.948152676,0,0.0288074369901653,0.268883370351749,27.9989601388882,1.59919314145059e-05,-0.38086326655599,0.104086990755711
5_1175_4,Google_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,192049,145202714,583657.948152676,4572.59523809524,0.0078343750009194,0.100423808230334,25.3593787204429,2.19621031386471e-05,145202714,583657.948152676,0,3200.81666666667,-0.3,583657.948152676,0,0.00548406250064358,0.0730564747805165,27.9989601388882,2.28243234113741e-05,-0.272518379178048,0.104086990755711
5_1175_4,Google_youtube_S,2020-05-06,2022-03-31,695 days,0.7,1.2,68095,145202714,583657.948152676,3242.61904761905,0.00555568386909181,0.741478853880135,25.3593787204429,0.000228666655870223,145202714,583657.948152676,0,3891.14285714286,0.2,583657.948152676,0,0.00666682064291017,0.92909509977631,27.9989601388882,0.00023877177834034,0.253029799723062,0.104086990755711
5_1175_4,Influencer_fix_S,2020-05-06,2022-03-31,695 days,0.7,1.2,2336999,145202714,583657.948152676,333857,0.572007973260167,9.1726138763403,25.3593787204429,2.74746789084557e-05,145202714,583657.948152676,0,380548.967511357,0.139856188461997,583657.948152676,0,0.652006828170206,12.5249356115804,27.9989601388882,3.29128093382795e-05,0.36547071319409,0.104086990755711
